tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,5.499999999999971925e-03
4.000000000000000000e+00,1.000000000000000000e+00,3.999999999999915082e-03
5.000000000000000000e+00,1.000000000000000000e+00,5.499999999999971925e-03
6.000000000000000000e+00,1.000000000000000000e+00,8.000000000000007105e-03
7.000000000000000000e+00,1.000000000000000000e+00,8.000000000000007105e-03
8.000000000000000000e+00,1.000000000000000000e+00,8.000000000000007105e-03
9.000000000000000000e+00,1.000000000000000000e+00,8.000000000000007105e-03
1.000000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
1.100000000000000000e+01,1.000000000000000000e+00,1.024999999999991543e-02
1.200000000000000000e+01,1.000000000000000000e+00,1.524999999999998579e-02
1.300000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
1.400000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
1.500000000000000000e+01,1.000000000000000000e+00,1.674999999999986569e-02
1.600000000000000000e+01,1.000000000000000000e+00,2.324999999999999289e-02
1.700000000000000000e+01,1.000000000000000000e+00,2.400000000000002132e-02
1.800000000000000000e+01,1.000000000000000000e+00,2.400000000000002132e-02
1.900000000000000000e+01,1.000000000000000000e+00,2.474999999999987280e-02
2.000000000000000000e+01,1.000000000000000000e+00,2.574999999999984940e-02
2.100000000000000000e+01,1.000000000000000000e+00,3.199999999999984801e-02
2.200000000000000000e+01,1.000000000000000000e+00,3.199999999999984801e-02
2.300000000000000000e+01,1.000000000000000000e+00,3.699999999999992184e-02
2.400000000000000000e+01,1.000000000000000000e+00,3.199999999999984801e-02
2.500000000000000000e+01,1.000000000000000000e+00,3.300000000000000849e-02
2.600000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
2.700000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
2.800000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
2.900000000000000000e+01,1.000000000000000000e+00,4.349999999999987210e-02
3.000000000000000000e+01,1.000000000000000000e+00,4.649999999999998579e-02
3.100000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
3.200000000000000000e+01,1.000000000000000000e+00,4.749999999999996586e-02
3.300000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
3.400000000000000000e+01,1.000000000000000000e+00,4.974999999999987071e-02
3.500000000000000000e+01,1.000000000000000000e+00,5.549999999999997297e-02
3.600000000000000000e+01,1.000000000000000000e+00,5.625000000000000139e-02
3.700000000000000000e+01,1.000000000000000000e+00,5.625000000000000139e-02
3.800000000000000000e+01,1.000000000000000000e+00,5.699999999999984940e-02
3.900000000000000000e+01,1.000000000000000000e+00,5.874999999999985789e-02
4.000000000000000000e+01,1.000000000000000000e+00,5.224999999999990763e-02
4.100000000000000000e+01,1.000000000000000000e+00,6.425000000000000155e-02
4.200000000000000000e+01,1.000000000000000000e+00,6.524999999999998856e-02
4.300000000000000000e+01,1.000000000000000000e+00,6.999999999999992339e-02
4.400000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
4.500000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
4.600000000000000000e+01,1.000000000000000000e+00,7.549999999999990052e-02
4.700000000000000000e+01,1.000000000000000000e+00,8.049999999999997435e-02
4.800000000000000000e+01,1.000000000000000000e+00,8.049999999999997435e-02
4.900000000000000000e+01,1.000000000000000000e+00,8.849999999999998146e-02
5.000000000000000000e+01,1.000000000000000000e+00,8.849999999999998146e-02
5.100000000000000000e+01,1.000000000000000000e+00,9.324999999999991629e-02
5.200000000000000000e+01,1.000000000000000000e+00,9.649999999999998856e-02
5.300000000000000000e+01,1.000000000000000000e+00,9.974999999999986655e-02
5.400000000000000000e+01,1.000000000000000000e+00,1.044999999999999957e-01
5.500000000000000000e+01,1.000000000000000000e+00,1.044999999999999957e-01
5.600000000000000000e+01,1.000000000000000000e+00,1.054999999999999688e-01
5.700000000000000000e+01,1.000000000000000000e+00,1.127499999999999475e-01
5.800000000000000000e+01,1.000000000000000000e+00,1.127499999999999475e-01
5.900000000000000000e+01,1.000000000000000000e+00,1.127499999999999475e-01
6.000000000000000000e+01,1.000000000000000000e+00,1.207499999999999546e-01
6.100000000000000000e+01,1.000000000000000000e+00,1.207499999999999546e-01
6.200000000000000000e+01,1.000000000000000000e+00,1.272499999999999187e-01
6.300000000000000000e+01,1.000000000000000000e+00,1.287499999999999756e-01
6.400000000000000000e+01,1.000000000000000000e+00,1.319999999999998397e-01
6.500000000000000000e+01,1.000000000000000000e+00,1.352499999999999258e-01
6.600000000000000000e+01,1.000000000000000000e+00,1.367499999999999827e-01
6.700000000000000000e+01,1.000000000000000000e+00,1.449999999999999345e-01
6.800000000000000000e+01,1.000000000000000000e+00,1.449999999999999345e-01
6.900000000000000000e+01,1.000000000000000000e+00,1.497499999999998832e-01
7.000000000000000000e+01,1.000000000000000000e+00,1.529999999999999416e-01
7.100000000000000000e+01,1.000000000000000000e+00,1.529999999999999416e-01
7.200000000000000000e+01,1.000000000000000000e+00,1.529999999999999416e-01
7.300000000000000000e+01,1.000000000000000000e+00,1.594999999999998919e-01
7.400000000000000000e+01,1.000000000000000000e+00,1.602499999999999203e-01
7.500000000000000000e+01,1.000000000000000000e+00,1.609999999999999487e-01
7.600000000000000000e+01,1.000000000000000000e+00,1.609999999999999487e-01
7.700000000000000000e+01,1.000000000000000000e+00,1.609999999999999487e-01
7.800000000000000000e+01,1.000000000000000000e+00,1.657499999999998974e-01
7.900000000000000000e+01,1.000000000000000000e+00,1.689999999999999558e-01
8.000000000000000000e+01,1.000000000000000000e+00,1.689999999999999558e-01
8.100000000000000000e+01,1.000000000000000000e+00,1.714999999999999858e-01
8.200000000000000000e+01,1.000000000000000000e+00,1.769999999999999629e-01
8.300000000000000000e+01,1.000000000000000000e+00,1.769999999999999629e-01
8.400000000000000000e+01,1.000000000000000000e+00,1.762499999999999345e-01
8.500000000000000000e+01,1.000000000000000000e+00,1.769999999999999629e-01
8.600000000000000000e+01,1.000000000000000000e+00,1.769999999999999629e-01
8.700000000000000000e+01,1.000000000000000000e+00,1.769999999999999629e-01
8.800000000000000000e+01,1.000000000000000000e+00,1.762499999999999345e-01
8.900000000000000000e+01,1.000000000000000000e+00,1.769999999999999629e-01
9.000000000000000000e+01,1.000000000000000000e+00,1.769999999999999629e-01
9.100000000000000000e+01,1.000000000000000000e+00,1.769999999999999629e-01
9.200000000000000000e+01,1.000000000000000000e+00,1.769999999999999629e-01
9.300000000000000000e+01,1.000000000000000000e+00,1.769999999999999629e-01
9.400000000000000000e+01,1.000000000000000000e+00,1.769999999999999629e-01
9.500000000000000000e+01,1.000000000000000000e+00,1.769999999999999629e-01
9.600000000000000000e+01,1.000000000000000000e+00,1.769999999999999629e-01
9.700000000000000000e+01,1.000000000000000000e+00,1.769999999999999629e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.769999999999999629e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.802500000000000213e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.779999999999999361e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.842499999999999416e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.852499999999999147e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.932499999999999218e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.972500000000000087e-01
